crimeid_UK_CSV0000000000000587,monthvalue_UK_CSV0000000000000587,reportedby,fallswithin,longitude,latitude,locationvalue,lsoacode,lsoaname,outcometype,crimeid_UK_CSV0000000000007347,monthvalue_UK_CSV0000000000007347
21956ebdf5dfab3a386a9c908c7315077f5f8dc792558116bad645f426b48869,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.26139,52.396134,On or near BARTON MEWS,E01018025,East Cambridgeshire 004B,Investigation complete; no suspect identified,,
aae4bfd3f3da1dbe6de2e2bb70ff088e03b84b570a0cb6a2a26031001029e713,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.157341,52.212785,On or near NEWMARKET ROAD,E01017946,Cambridge 006D,Unable to prosecute suspect,,
89715acc036efb63a2d5b0623db3bbbafd2809703a94d53e668353f816bfad8c,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.120216,52.206273,On or near Nightclub,E01032797,Cambridge 007G,Investigation complete; no suspect identified,,
9f45a15690b02fe76f00893a69c77a4a94eaac52a91ec0e86efb708a3a9025af,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.27302,52.097877,On or near FIELD CLOSE,E01018263,South Cambridgeshire 016D,Local resolution,,
f43856000380a1f51afaa984e3a34490fac68929f0be95e0e97e6cc8f2ec8f88,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.157341,52.212785,On or near NEWMARKET ROAD,E01017946,Cambridge 006D,Unable to prosecute suspect,,
d3c7fa16e1a52f531e2a876c2a98f848b6b2f7ec9e038242f338defb272a6636,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.276011,52.546919,On or near MALBORNE WAY,E01015639,Peterborough 021B,Investigation complete; no suspect identified,,
b13f6866c8dfe0cc27427082c5374ee4c2b40504af7d266d572bea32b0d9fc22,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.241286,52.57402,On or near MIDGATE,E01015599,Peterborough 014A,Unable to prosecute suspect,,
d0ac92db9fad9519958395712712b7705ad7954d202cc0342fb6a23a44d4eb42,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.069826,52.561904,On or near Supermarket,E01018081,Fenland 005A,Investigation complete; no suspect identified,,
33c79fd1e4a16244f2533cb74e8dc6b187107827e01c25548af6038795bcac5f,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.272828,52.621938,On or near Petrol Station,E01015678,Peterborough 002A,Investigation complete; no suspect identified,,
814a04043d09b85b2ad689cf79dfd3b29dcd8057509cc3b2745dfdb0f2e17103,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.408366,52.310754,On or near NEWPORT AVENUE,E01018035,East Cambridgeshire 007B,Unable to prosecute suspect,,
55ab756f7ae736a238aa8a23ecd61df2a9867bda85be9aa33eda284aa103911a,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.191614,52.338711,On or near STANTON WAY,E01018150,Huntingdonshire 012D,Investigation complete; no suspect identified,,
620576925594896b008b92e1f1ecd93ef998d8bb69a428cc601ff55203015348,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.408013,52.628597,On or near WHITMAN CLOSE,E01015590,Peterborough 004B,Unable to prosecute suspect,,
4a2025f1c828d49d9a4e2504a057b5ae24075129a164bc605bf04875792d7457,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.08684,52.572827,On or near FOUNDRY WAY,E01018081,Fenland 005A,Unable to prosecute suspect,,
a93c55d96099ef46e41b71212771f907c454ead826e09f1506fc816346173648,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.284534,52.591935,On or near FLAXLAND,E01015594,Peterborough 011C,Suspect charged,,
556b76bfd18a18961f7b9bf567041fc33de02d7406f45eba1bc8a478fc3b8e46,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.153537,52.09442,On or near ELMS CLOSE,E01018239,South Cambridgeshire 017B,Investigation complete; no suspect identified,,
0b0eb16183d28e2e2c86014580e6981a87d448866792e1d68c12ee9071a56e27,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.278509,52.584816,No location,E01032797,Cambridge 007G,Investigation complete; no suspect identified,,
75d7c2f4548f8b5ae12754233ee1105533bb43de3f89af40fdcd78a322213e52,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.119323,52.39179,On or near ST ANDREWS CLOSE,E01018056,East Cambridgeshire 002E,Investigation complete; no suspect identified,,
b46d3b87343f9fef755ba465d1e7c4ee430cef6ab170bb41619db0f3434e9870,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.267586,52.224958,On or near BERKLEY COURT,E01018185,Huntingdonshire 021E,Investigation complete; no suspect identified,,
a2cd2f345287b375ec8c3596cf046726b470d17a400afd85208730a9bb8a1b22,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.285985,52.213304,On or near ACKERMAN GARDENS,E01018177,Huntingdonshire 022A,Investigation complete; no suspect identified,,
932a00341e999120d316bde96585240a567b678c127cc3232bc9c4e02cb2e0bc,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.197959,52.338601,On or near GRASMERE,E01018149,Huntingdonshire 012C,Unable to prosecute suspect,,
325e566ffad26395157736c40dffbde5fae3ad4eeb3a4d1f9697b70b7de991c7,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.280775,52.602732,On or near WATERGALL,E01015596,Peterborough 009B,Investigation complete; no suspect identified,,
1822f8f22241462c68e918f924a76ab65e4ea52f3f555f61c7b7129c92895e31,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.30551,52.544927,On or near Petrol Station,E01015647,Peterborough 021F,Investigation complete; no suspect identified,,
fd0173dcbfd06e86f796f5129ba7a4811c146e7035611f87e5e078fb1c3371c3,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.115374,52.176741,On or near ALPHA TERRACE,E01018002,Cambridge 012A,Unable to prosecute suspect,,
239015f2c30462861b91c081dcd6b275349a8f86642197cff7d85804564d8d9d,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.165526,52.190254,On or near ST BEDE'S CRESCENT,E01017961,Cambridge 011C,Investigation complete; no suspect identified,,
