object_id(long),reqid(long),request_date,personpremise,address_one,zip(double precision),activity_date,activitytypeid(long),activity_type_desc
1449.0,701084.0,2020/07/13 03:59:59+00,HOME DEPOT,6840 DIXIE HWY,40258.0,2020/08/10 03:59:59+00,7,FIELD
1450.0,701085.0,2020/07/13 03:59:59+00,DOLLAR TREE #1932,5713 PRESTON HWY,40219.0,2020/07/15 03:59:59+00,7,FIELD
1451.0,701153.0,2020/07/14 03:59:59+00,HOME DEPOT,6840 DIXIE HWY,40258.0,2020/08/10 03:59:59+00,7,FIELD
1452.0,701212.0,2020/07/14 03:59:59+00,KROGER L-785,4915 DIXIE HWY,40216.0,2020/07/15 03:59:59+00,7,FIELD
1453.0,701224.0,2020/07/14 03:59:59+00,WALMART #526,3706 DIANN MARIE RD,40241.0,2020/07/15 03:59:59+00,7,FIELD
1454.0,701497.0,2020/07/16 03:59:59+00,KROGER L-743,12611 TAYLORSVILLE RD,40299.0,2020/07/17 03:59:59+00,7,FIELD
1455.0,701514.0,2020/07/17 03:59:59+00,CHEER CENTRAL ATHLETICS,7901 3RD ST RD,40214.0,2020/09/11 03:59:59+00,7,FIELD
1456.0,701674.0,2020/07/17 03:59:59+00,BONNIE & CLYDE'S PIZZA,7611 DIXIE HWY,40258.0,2020/07/21 03:59:59+00,7,FIELD
1457.0,701797.0,2020/07/20 03:59:59+00,WALMART #4524,5360 DIXIE HWY,40216.0,2020/07/22 03:59:59+00,7,FIELD
1458.0,701822.0,2020/07/20 03:59:59+00,CIRCLE K #4703232,13401 DIXIE HWY,40272.0,2020/07/22 03:59:59+00,7,FIELD
1459.0,702128.0,2020/07/25 03:59:59+00,TACO BELL LONG JOHN SILVERS,1805 BLANKENBAKER PKWY,40299.0,2020/07/27 03:59:59+00,7,FIELD
1460.0,702253.0,2020/07/25 03:59:59+00,MY TESTMONIES CHILD DEVELOPMENT CENTER,6210 SHEPHERDSVILLE RD,40228.0,2020/07/28 03:59:59+00,7,FIELD
1461.0,702561.0,2020/07/30 03:59:59+00,KID'S DENTISTREE,5100 OUTER LOOP STE C,40219.0,2020/09/10 03:59:59+00,7,FIELD
1462.0,696391.0,2020/04/24 03:59:59+00,UPS STORE,9462 BROWNSBORO RD,40241.0,2020/04/24 03:59:59+00,7,FIELD
1463.0,702908.0,2020/08/03 03:59:59+00,TEXAS ROADHOUSE,13321 SHELBYVILLE RD,40223.0,2020/08/10 03:59:59+00,7,FIELD
1464.0,693637.0,2020/03/25 03:59:59+00,FAMILY DOLLAR #28696,3036 WILSON AVE,40211.0,2020/03/30 03:59:59+00,7,FIELD
1465.0,693760.0,2020/03/26 03:59:59+00,UNKNOWN,409 E MUHAMMAD ALI BLVD,40202.0,2020/03/27 03:59:59+00,7,FIELD
1466.0,693918.0,2020/03/27 03:59:59+00,DAIRY DEL #2,2607 S 7TH ST,40215.0,2020/03/28 03:59:59+00,7,FIELD
1467.0,693970.0,2020/03/27 03:59:59+00,GE APPLIANCE,4000 BUECHEL BANK RD,40218.0,2020/03/31 03:59:59+00,7,FIELD
1468.0,694655.0,2020/04/02 03:59:59+00,UNKNOWN,2716 DELOR AVE,40217.0,2020/04/03 03:59:59+00,7,FIELD
1469.0,694869.0,2020/04/07 03:59:59+00,VALLEY DAIRY FREEZE INC.,10300 DEERING RD,40272.0,2020/04/09 03:59:59+00,7,FIELD
1470.0,694874.0,2020/04/07 03:59:59+00,SEA FRESH SEAFOOD RESTAURANT,8129 BARDSTOWN RD,40291.0,2020/04/08 03:59:59+00,7,FIELD
1471.0,695110.0,220/04/08 03:59:59+00,LITTLE CAEASRS,3121 S m2ND ST,40225.0,2020/04/09 03:59:59+00,7,FIELD
1472.0,695126.0,2020/04/09 03:59:59+00,UPS,8100 COMMERCE DR,40219.0,2020/04/13 03:59:59+00,7,FIELD
1473.0,695252.0,2020/04/10 03:59:59+00,RENTAL HALL BUSINESS,134 OUTER LOOP,40214.0,2020/04/20 03:59:59+00,7,FIELD
1474.0,695301.0,2020/04/11 03:59:59+00,GRACE TEMPLE,970 PALATKA ROAD,40214.0,2020/04/14 03:59:59+00,7,FIELD
1475.0,695305.0,2020/04/11 03:59:59+00,HOME DEPOT,6840 DIXIE HIGHWAY,40258.0,2020/04/14 03:59:59+00,7,FIELD
1476.0,695377.0,2020/04/08 03:59:59+00,RESIDENT,1753 W HILL ST,40210.0,2020/04/10 03:59:59+00,7,FIELD
1477.0,697915.0,2020/05/18 03:59:59+00,POPEYE'S,7723 BARDSTOWN RD,40291.0,2020/05/19 03:59:59+00,7,FIELD
1478.0,696396.0,2020/04/24 03:59:59+00,THIRSTY HOUND,7207 FEGENBUSH LN,40228.0,2020/05/01 03:59:59+00,7,FIELD
1479.0,696479.0,2020/04/21 03:59:59+00,RESIDENCE,6618 MILLER PARK DR,40258.0,2020/04/27 03:59:59+00,7,FIELD
1480.0,696595.0,2020/04/24 03:59:59+00,BASKETBALL COURT,1256 LOGAN ST,40204.0,2020/04/28 03:59:59+00,7,FIELD
1481.0,696675.0,2020/04/29 03:59:59+00,JOHNSON CONTROL,8401 AIR COMMERCE DRIVE,40219.0,2020/04/29 03:59:59+00,7,FIELD
1482.0,696797.0,2020/04/27 03:59:59+00,LORIE'S PACKAGE LIQUORS,2316 W MARKET ST,40212.0,2020/04/28 03:59:59+00,7,FIELD
