isp,you_tube_startup_delay_peak,webloading_two_fourh,packet_losspeak,download_two_zero_two_onepm,upload_two_fourmaxave,download_one_two_one_eightpm,you_tube_sd_two_fourhr,latency_two_fourh,region,i_player_uhd_two_fourhr,upload_two_fourminave,technology,dns_failurepeak,unitid,downloadpeakminave,dns_ratepeak,i_player_sd_two_fourhr
Verizon,633.23,133.4,0.03%,66.23,15.69,66.17,4.76%,5.61,East,0.00%,15.61,FTTC,0.00%,148578.0,65.91,8.9,0.00%
Verizon,430.25,156.18,0.04%,61.32,12.89,63.11,3.61%,16.97,Northern Ireland,0.00%,12.65,FTTC,0.00%,945210.0,59.79,18.23,0.00%
BT,1148.4,465.86,0.01%,13.17,0.87,13.18,3.45%,36.1,Yorkshire & Humberside,0.00%,0.85,ADSL2,0.22%,830667.0,13.17,30.5,0.00%
Comcast,611.24,259.6,0.00%,109.48,10.02,110.96,3.60%,18.6,North West,0.00%,9.75,Cable,0.73%,655702.0,106.04,27.19,0.00%
Comcast,650.2,269.11,8.80%,111.42,10.02,110.74,2.80%,14.97,West Midlands,0.00%,9.84,Cable,0.00%,571682.0,108.52,12.56,0.00%
BT,439.26,90.21,0.00%,75.37,9.57,75.43,1.30%,9.21,Yorkshire & Humberside,0.00%,9.43,FTTP,0.00%,5072125.0,74.99,9.69,0.00%
Comcast,496.73,287.08,0.15%,315.0,36.42,341.7,3.53%,18.78,Scotland,0.00%,24.33,Cable,0.00%,1011956.0,254.2,12.29,0.00%
Comcast,659.86,277.02,0.09%,218.65,20.75,218.54,3.45%,18.56,Wales,0.00%,17.62,Cable,0.10%,659036.0,218.17,12.94,0.00%
BT,453.59,119.34,0.00%,73.82,9.56,74.34,3.61%,12.37,Yorkshire & Humberside,0.00%,9.4,FTTC,0.00%,947892.0,73.25,7.14,0.00%
AT&T,632.78,145.5,0.63%,66.54,18.34,65.26,4.14%,14.9,North West,0.00%,15.95,FTTC,0.00%,172320.0,58.96,18.13,0.57%
Comcast,985.46,293.14,0.26%,31.94,6.93,31.57,4.69%,17.26,South East,0.00%,3.72,FTTC,0.00%,657872.0,30.38,9.0,1.40%
Verizon,947.69,251.51,0.01%,70.72,18.6,70.88,3.51%,10.26,South East,0.00%,18.25,FTTC,0.00%,144400.0,70.49,11.5,0.00%
Comcast,478.43,263.46,0.01%,377.96,36.65,380.68,4.07%,14.8,South West,0.00%,36.26,Cable,0.00%,996909.0,375.37,12.33,0.00%
Verizon,1011.61,245.74,0.01%,70.62,18.58,70.55,3.48%,6.84,East,0.00%,18.27,FTTC,0.00%,30431.0,70.29,7.68,0.00%
Comcast,646.37,269.37,0.11%,219.01,20.48,219.23,3.19%,15.15,North West,0.00%,18.94,Cable,0.00%,816963.0,218.66,12.71,0.00%
Verizon,1067.64,163.66,0.00%,74.21,16.97,74.18,3.76%,17.36,Northern Ireland,0.00%,16.78,FTTC,0.00%,812764.0,73.87,23.56,0.00%
Verizon,1251.48,420.77,0.00%,12.76,4.8,13.18,3.46%,7.59,South East,0.00%,4.71,FTTC,0.00%,813141.0,12.24,18.63,0.00%
Verizon,994.43,224.01,0.01%,35.9,8.54,36.99,3.13%,6.51,South East,0.00%,8.37,FTTC,0.00%,814321.0,35.94,9.7,0.00%
Comcast,591.07,388.39,0.00%,356.99,36.95,341.61,3.96%,29.5,Scotland,0.00%,36.23,Cable,0.00%,942452.0,336.66,22.69,0.00%
