object_id(long),reqid(long),request_date,personpremise,address_one,zip(double precision),activity_date,activitytypeid(long),activity_type_desc
1956.0,712442.0,2020/12/14 05:00:00+00,FIVE BELOW,13401 SHELBYVILLE RD.,40223.0,2020/12/14 05:00:00+00,4,SURVEY
1957.0,712443.0,2020/12/14 05:00:00+00,FIRST LADY NAILS,13401 SHELBYVILLE RD.,40223.0,2020/12/14 05:00:00+00,4,SURVEY
1958.0,712444.0,2020/12/14 05:00:00+00,SALLY BEAUTY SUPPLY,13401 SHELBYVILLE RD.,40223.0,2020/12/14 05:00:00+00,4,SURVEY
1959.0,712445.0,2020/12/14 05:00:00+00,JOELLA'S,13401 SHELBYVILLE RD,40223.0,2020/12/14 05:00:00+00,4,SURVEY
1960.0,712503.0,2020/12/14 05:00:00+00,HOOTERS,4948 DIXIE HWY,40216.0,2020/12/14 05:00:00+00,4,SURVEY
1961.0,712519.0,2020/12/14 05:00:00+00,FULL SWING INDOOR GOLF,7100 PRESTON HWY,40219.0,2020/12/14 05:00:00+00,4,SURVEY
1962.0,712523.0,2020/12/14 05:00:00+00,SOUTHSIDE CHRISTIAN,817 S 2ND ST,40203.0,2020/12/14 05:00:00+00,4,SURVEY
1963.0,712526.0,2020/12/14 05:00:00+00,U OF L EARLY LEARNING CENTER,409 REG SMITH CIRCLE,40208.0,2020/12/14 05:00:00+00,4,SURVEY
1964.0,712527.0,2020/12/14 05:00:00+00,NOODLES & COMPANY,319 W CARDINAL BLVD,40208.0,2020/12/14 05:00:00+00,4,SURVEY
1965.0,712528.0,2020/12/14 05:00:00+00,CIRCLE K #4700075,1630 ARTHUR ST,40217.0,2020/12/14 05:00:00+00,4,SURVEY
1966.0,712529.0,2020/12/14 05:00:00+00,KEYSTONE LEARNING ACADEMY,1705 S 13TH ST,40210.0,2020/12/14 05:00:00+00,4,SURVEY
1967.0,712531.0,2020/12/14 05:00:00+00,DURAMART,1480 S 7TH ST,40208.0,2020/12/14 05:00:00+00,4,SURVEY
1968.0,712532.0,2020/12/14 05:00:00+00,LOVE MY CHILDREN,737 S 8TH ST,40203.0,2020/12/14 05:00:00+00,4,SURVEY
1969.0,712533.0,2020/12/14 05:00:00+00,BRIGHT HORIZONS CHILDCARE,632 S 4TH ST,40202.0,2020/12/14 05:00:00+00,4,SURVEY
1970.0,712299.0,2020/12/11 05:00:00+00,LIL GENIUS CHILDCARE,1121 W BROADWAY,40203.0,2020/12/11 05:00:00+00,4,SURVEY
1971.0,712301.0,2020/12/11 05:00:00+00,OLLIE'S TROLLEY #9,978 S 3RD ST,40203.0,2020/12/11 05:00:00+00,4,SURVEY
1972.0,712303.0,2020/12/11 05:00:00+00,MAGNOLIA FOODS CATERING,621 W MAGNOLIA ST,40208.0,2020/12/11 05:00:00+00,4,SURVEY
