crimeid,monthvalue,reportedby,outcometype,latitude,fallswithin,locationvalue
3858e1e90039c018f0ed37bf0cf791739b664f09032c70ebfdcac6efb49f1d29,2023-05,Gloucestershire Constabulary,Formal action is not in the public interest,51.864813,Gloucestershire Constabulary,No location
ac974b8de072627502c7ae378db74bf654a6c79179473baf57a5d86a4c5ea1cb,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
e020eef2df6de10a264dc644fb15a0fd3f7de700ecce788a261014e4858f544a,2023-05,Gloucestershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
f954f48a5f830183ed45d1116946f212db707a519fa3e363de99178badf0dfb9,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
58fce7841db844c17e4ce5a4b2ec66f9c990a9ba5a91b9a7602792bece544bdf,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
e73092453cbcccb8c4811b6ef78ea25001526fd182f2fb82db7a8657fd36f4ae,2023-05,Gloucestershire Constabulary,Action to be taken by another organisation,51.864813,Gloucestershire Constabulary,No location
77274dd89fd80c7bbf93dbaddfccb9f9f9b6cf7c8cdd71c8d6a3e81d32b8b11f,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
1c3e9fc11b832b907c3edfba4da3543054acc3b8512074594391da73c62f9c20,2023-05,Gloucestershire Constabulary,Local resolution,51.864813,Gloucestershire Constabulary,No location
cfb112a471ae34e4f0faf3ba41c316bf84111d9ab4774800519d2e378c1cb0bc,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
a8f1631654adea61fcfd2f1428b575663852de02bdf82cdc502a5cc2394a326d,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
