object_id,reqid,request_date,personpremise,address_one,zip,activity_date,activitytypeid,activity_type_desc
2183,701330,2020/07/15 03:59:59+00,SPEED WASH,3315 BARDSTOWN RD,40218.0,2020/07/16 03:59:59+00,7,FIELD
2184,704630,2020/09/01 03:59:59+00,FIVE POINTS FOOD MART,4548 TAYLORSVILLE RD,40220.0,2020/09/02 03:59:59+00,7,FIELD
2185,703454,2020/08/07 03:59:59+00,SPEEDWAY #9514,2965 BRECKENRIDGE LN,40220.0,2020/08/11 03:59:59+00,7,FIELD
2186,704717,2020/09/03 03:59:59+00,LANDRUM FLOORING,4121 BISHOP LN,40218.0,2020/09/15 03:59:59+00,7,FIELD
2187,703714,2020/08/13 03:59:59+00,KROGER L-379,9080 TAYLORSVILLE RD,40299.0,2020/08/14 03:59:59+00,7,FIELD
2188,703810,2020/08/15 03:59:59+00,BUCA DI BEPPO,2051 S HURSTBOURNE LN,40220.0,2020/08/15 03:59:59+00,7,FIELD
2189,704959,2020/09/03 03:59:59+00,LOUISVILLE PLATE GLASS CO,4301 CHEF'S WAY,40218.0,2020/09/03 03:59:59+00,7,FIELD
2190,703790,2020/08/16 03:59:59+00,KROGER L-332,4211 S 3RD ST,40214.0,2020/08/18 03:59:59+00,7,FIELD
2191,703887,2020/08/18 03:59:59+00,QDOBA #2999,4600 SHELBYVILLE RD,40207.0,2020/08/25 03:59:59+00,7,FIELD
2192,705406,2020/09/16 03:59:59+00,DAIRY MART #739,3400 TAYLOR BLVD,40215.0,2020/10/01 03:59:59+00,7,FIELD
2193,703933,2020/08/19 03:59:59+00,KIDS ACADEMY IV,13905 SHELBYVILLE RD,40245.0,2020/08/20 03:59:59+00,7,FIELD
2194,704416,2020/08/28 03:59:59+00,MMERCER TRANSPORTATION,120 S 12TH ST,40203.0,2020/09/08 03:59:59+00,7,FIELD
2195,705497,2020/09/17 03:59:59+00,GALAXIE,732 E MARKET ST,40202.0,2020/09/23 03:59:59+00,7,FIELD
2196,704212,2020/08/25 03:59:59+00,HOOTERS,4948 DIXIE HWY,40216.0,2020/08/26 03:59:59+00,7,FIELD
2197,705522,2020/09/18 03:59:59+00,SE CHRISTIAN CHURCH,920 BLANKENBAKER PKWY,40243.0,2020/09/25 03:59:59+00,7,FIELD
2198,704544,2020/08/29 03:59:59+00,EGGS OVER FRANKFORT,2712 FRANKFORT AVE,40206.0,2020/08/29 03:59:59+00,7,FIELD
2199,705641,2020/09/21 03:59:59+00,WALMART #5417,175 OUTER LOOP,40214.0,2020/09/22 03:59:59+00,7,FIELD
2200,704399,2020/08/27 03:59:59+00,FORD MOTOR PLANT,3001 CHAMBERLAIN LANE,40219.0,2020/08/27 03:59:59+00,7,FIELD
2201,709463,2020/11/18 05:00:00+00,VICTORIA MEXICAN RESTAURANT,2918 HIKES LN,40218.0,2020/11/19 05:00:00+00,7,FIELD
2202,704950,2020/09/08 03:59:59+00,KROGER L-350,5533 NEW CUT RD,40214.0,2020/09/17 03:59:59+00,7,FIELD
